codigo,nombre,centro,almacen,libre,inspeccion,bloqueado,traslado,total
W73001SJL002,IML 01G R1 WH 50LIW 5C ANDIPRO EAS 24SHW,RH01,4000.0,131570.0,0.0,0.0,0.0,131570.0
W73004TAE002,IML 04G P3 WH 70ELR 4C MARMO EF5 21TAJ,RH01,4000.0,131250.0,0.0,0.0,0.0,131250.0
W73004SJ6002,IML 04G P3 WH 70ELR 5C EAA SEMIBRI 23SHW,RH01,4000.0,129830.0,0.0,0.0,0.0,129830.0
W73004SIK003,IML 04G P3 WH 70ELR 5C LATEX TECNO 25CER,RH01,4000.0,128360.0,0.0,0.0,0.0,128360.0
W73001CS2W00,IML 01G M3 WH 50LIH 4C MERM STANDA 19CLA,RH01,4000.0,128070.0,0.0,0.0,0.0,128070.0
W73001ZR1001,IML 01G R1 WH 50LIW 4C MOHICAN EAA 23ZAR,RH01,4000.0,127490.0,0.0,0.0,0.0,127490.0
W73004GA8002,IML 04G P3 WH 70ELR 5C GRANO GAMMA 24GAM,RH01,4000.0,127290.0,0.0,0.0,0.0,127290.0
W73001SJ6001,IML 01G R1 WH 50LIW 5C EAA SEMIBRI 25SHW,RH01,4000.0,126000.0,0.0,0.0,0.0,126000.0
W73010PX2006,IML 10L P3 WH 70ELR 5C CADINA AC 24PAR,RH01,4000.0,125900.0,0.0,0.0,0.0,125900.0
N25002514412,BOL HDPE TT 330X 60CM 35μ BD5GL,RH01,4000.0,125130.0,0.0,0.0,0.0,125130.0
N65005017200,DESECANTE CONTAINER DRI II P/HUMED 125GR,RH01,4000.0,123580.0,0.0,0.0,0.0,123580.0
W73005GAB001,IML 05G P3 WH 82LMG 5C ESMALTE SAT 21GAM,RH01,4000.0,121190.0,0.0,0.0,0.0,121190.0
